Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: TGM1; id: 7051;	190195	Fetal	CNV,SNV	Undetermined	"{""id"":""chr14"",""data"":""24,718,320-24,732,383""}"	Ichthyosis, congenital, autosomal recessive 1	242300	AR	SKELETAL, SKIN	Prenatal and Neonatal demise.	M,F	Candidate	11251583				x
name: THSD1; id: 55901;	616821	Fetal	SNV	Undetermined	"{""id"":""chr13"",""data"":""52951301_52990508""}"	Lymphatic malformation	620244	AD	CARDIOVASCULAR	Nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: TIMMDC1; id: 51300;	615534	Fetal	SNV		"{""id"":""chr3"",""data"":""119,217,394-119,243,937""}"	Mitochondrial complex I deficiency	252010	AR	METABOLIC		M,F	Known	30993004; 28604674				x
name: TIMP2; id: 7077;	188825	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""76849058_76921469""}"					Prenatal and Neonatal demise.	M,F	Emerging	34756330		x	x	
name: TK2; id: 7084;	188250	Fetal	SNV		"{""id"":""chr16"",""data"":""66,541,906-66,584,194""}"	Mitochondrial DNA depletion syndrome 2 (myopathic type), 609560 (3), Autosomal recessive	609560	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 6314875; 16908738; 23303857				x
name: TLE6; id: 79816;	612399	Maternal	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""2977443_2995177""}"	embryo maturation arrest	616814	AR	REPRODUCTIVE	Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: TMEM107; id: 84314;	616183	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""8075774_8079717""}"	Meckel syndrome 13.	617562	AR	MULTIPLE >3	Dandy Walker malformation, bilateral mild ventriculomegaly, agenesis of corpus callosum, polydactyly, occipital encephalocele, and polycystic kidneys.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: TMEM126B; id: 55863;	615533	Fetal	SNV		"{""id"":""chr11"",""data"":""85,339,617-85,347,584""}"	Mitochondrial complex I deficiency	252010	AR	METABOLIC		M,F	Known	30993004; 27374774; 36482121			x	x
name: TMEM138; id: 51524;	614459	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""61129472_61136981""}"	Joubert syndrome 16	614465	AR	NEUROLOGIC	Polycystic kidneys, dysmorphic features, and occipital encephalocele.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: TMEM231; id: 79583;	614949	Fetal	SNV	Undetermined	"{""id"":""chr16"",""data"":""75,572,015-75,590,184""}"	Meckel syndrome 11.	615397	AR	MULTIPLE >3	Occipital encephalocele, polycystic kidneys, cleft lip, and pre/post-axial polydactyly, and pterygium.. Prenatal and Neonatal demise.	M,F	Known	34645488; 37736303; 34912761; 32386258; 31663672; 27449316		x	x	
name: TMEM256; id: 254863;	617779	Fetal	CNV,SNV	Undetermined	"{""id"":""chr17"",""data"":""7306293_7307456""}"				SKELETAL	Narrow chest, high arched palate, short neck, brachydactyly, nail hypoplasia, short extremities, small iliac bones with downward spike, trident acetabular roof, partial syndactyly, and respiratory insufficiency.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: TMEM67; id: 91147;	609884	Fetal	CNV,SNV	Undetermined	"{""id"":""chr8"",""data"":""94767071_94831466""}"	COACH syndrome, 216360 (3), Autosomal recessive, Joubert syndrome 6, 610688 (3), Autosomal recessive, Meckel syndrome 3, 607361 (3), Autosomal recessive, Nephronophthisis 11, 613550 (3), Autosomal recessive	607361	AR	MULTIPLE >3	Microcephaly, occipital encephalocele, pulmonary hypoplasia, polycystic kidneys, and oligohydramnios.. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: TNNC1; id: 7134;	191040	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""52485115_52488086""}"	Cardiomyopathy, dilated, 1Z	611879	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	36814108		x	x	
name: TNNT2; id: 7139;	191045	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""201328135_201346892""}"	Cardiomyopathy, dilated, 1D, 601494 (3), Autosomal dominant, Cardiomyopathy, familial restrictive, 3, 612422 (3), Autosomal dominant, Cardiomyopathy, hypertrophic, 2, 115195 (3), Autosomal dominant, Left ventricular noncompaction 6, 601494 (3), Autosomal dominant	601494	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593	x	x		
name: TNNT3; id: 7140;	600692	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""1940791_1959936""}"	Arthrogryposis, distal, type 2B2	618435	AD	MUSCULAR	Generalized edema, hydrothorax, hydrops fetalis, and ectrodactyly.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	x
name: TOE1; id: 114034;	613931	Fetal	SNV		"{""id"":""chr1"",""data"":""45,805,842-45,809,645""}"	Pontocerebellar hypoplasia, type 7, 614969 (3), Autosomal recessive	614969	AR	NEUROLOGIC		M,F	Known	30993004; 21594990				x
name: TOP6BL; id: 79703;	616109	Maternal	SNV	Undetermined	"{""id"":""chr11"",""data"":""66,512,208-66,610,987""}"	Hydatidiform mole, recurrent	618432	AR	REPRODUCTIVE	Hydatidiform Mole	M,F	Known	30388401	x			
name: TP63; id: 8626;	603273	Fetal	CNV,SNV	LoF	"{""id"":""chr3"",""data"":""189,314,535-189,615,065""}"	ADULT syndrome, 103285 (3), Autosomal dominant, Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3, 604292 (3), Autosomal dominant, Hay-Wells syndrome, 106260 (3), Autosomal dominant, Limb-mammary syndrome, 603543 (3), Autosomal dominant, Orofacial cleft 8, 129400 (3), Autosomal dominant, Rapp-Hodgkin syndrome, 129400 (3), Autosomal dominant, Split-hand/foot malformation 4, 605289 (3), Autosomal dominant	129400	AD	MULTIPLE >3		M,F	Known	30993004; 8737656				x
name: TPI1 ; id: 7167;	190450	Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""6976282_6980112""}"	Hemolytic anemia due to triosephosphate isomerase deficiency 	615512	AR	HEMATOPOETIC	Prenatal and Neonatal demise.	M,F	Emerging	36658419; 2569601; 8244340; 20374271			x	x
name: TRDN; id: 10345;	603283	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""123537482_123958238""}"	catecholaminergic polymorphic ventricular tachycardia (CPVT); long-QT-syndrome	614916	AD,AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	29495624		x	x	
name: TRIM59; id: 286827;	616148	Unknown	CNV,SNV	Undetermined	"{""id"":""chr3"",""data"":""160,435,503-160,449,786""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: TRIP11; id: 9321;	604505	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""92432334_92507240""}"	Achondrogenesis, type IA, 200600 (3), Autosomal recessive	200600	AR	SKELETAL	Ribs with multiple fractures, deformities of the appendicular skeleton, hypocalcific calvarium, hepatomegaly. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: TRPM4; id: 54795;	606936	Fetal	SNV	Undetermined	"{""id"":""chr19"",""data"":""49660997_49715093""}"	Brugada syndrome	612838	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593	x	x	x	x
name: TRPV4; id: 59341;	605427	Fetal	SNV	LoF	"{""id"":""chr12"",""data"":""110,220,892-110,271,203""}"	Metatropic dysplasia	156530	AD	SKELETAL	Decreased fetal movements	M,F	Known	30993004; 3805078; 21964829		x	x	x
name: TSC1; id: 7248;	605284	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""135766734_135820156""}"	tuberous sclerosis	191100	AD	CARDIOVASCULAR	Hydrops. Prenatal and Neonatal demise.	M,F	Emerging	34358384		x	x	
name: TSEN54; id: 283989;	608755	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""73,512,609-73,520,816""}"	Pontocerebellar hypoplasia type 2A, 277470 (3), Autosomal recessive, Pontocerebellar hypoplasia type 4, 225753 (3), Autosomal recessive	277470; 225753	AR	MULTIPLE >3		M,F	Known	30993004; 8480512; 20956791; 18711368			x	x
name: TSFM; id: 10102;	604723	Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""58176371_58201854""}"	Combined oxidative phosphorylation deficiency 3, 610505 (3), Autosomal recessive	610505	AR	METABOLIC	Intrauterine growth retardation, dilation of lateral ventricles. Prenatal and Neonatal demise.	M,F	Emerging	34645488				x
name: TSG101; id: 7251;	601387	Unknown	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""18,501,858-18,548,489""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: TSPYL1; id: 7259;	604714	Fetal	SNV		"{""id"":""chr6"",""data"":""116,596,021-116,601,093""}"	Sudden infant death with dysgenesis of the testes syndrome, 608800 (3), Autosomal recessive	608800	AR	CARDIOVASCULAR		M,F	Known	30993004; 32885560; 15273283	x	x	x	x
name: TTC21B; id: 79809;	612014	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""166713984_166810353""}"	Nephronophthisis 12	613820	AR		anhydramnios, cystic hygroma, bilateral renal agenesis, enlarged and cystic liver. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: TTC26; id: 79989;	617453	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""138818489_138876732""}"					Hydrocephalus, encephalocele, severe neonatal cholestasis, forelimb polydactyly and syndactyly.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: TTC28; id: 23331;	615098	Fetal	SNV	Undetermined	"{""id"":""chr22"",""data"":""28374001_29075853""}"					Duodenal atresia III, jejunal and ileal atresia. Prenatal and Neonatal demise.	M,F	Emerging	30679815		x	x	
name: TTC37; id: 9652;	614589	Fetal	SNV	Undetermined	"{""id"":""chr5"",""data"":""94,799,599-94,890,709""}"	Trichohepatoenteric syndrome 1, 222470 (3), Autosomal recessive	222470	AR	SKELETAL		M,F	Known	30993004; 7073301; 9021008; 28292286			x	x
name: TTC7A; id: 57217;	609332	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""47,143,005-47,303,262""}"	Gastrointestinal defects and immunodeficiency syndrome	243150	AR	MULTIPLE >3	Polyhydramnios	M,F	Known	30993004; 2240032; 15137007; 24417819; 39873864			x	x
name: TTN; id: 7273;	188840	Fetal	CNV,SNV	Undetermined	"{""id"":""chr2"",""data"":""179390715_179695529""}"	Salih myopathy, lethal congenital contracture syndrome	604145; 611705	AD,AR	CARDIOVASCULAR, MUSCULAR	Polyhydramnios, very weak fetal movement. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	x
name: TUBA1A; id: 7846;	602529	Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""49578577_49583107""}"	Lissencephaly 3	611603	AD	NEUROLOGIC	neuronal migration defects. Prenatal and Neonatal demise.	M,F	Emerging	29261186		x	x	
name: TUBB; id: 203068;	191130	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""30687977_30693203""}"	Cortical dysplasia, complex, with other brain malformations 6	615771	AD	NEUROLOGIC	agenesis of the corpus callosum, pontocerebellar hypoplasia. Prenatal and Neonatal demise.	M,F	Emerging	29261186		x	x	
name: TUBB3; id: 10381;	602661	Fetal	SNV	Undetermined	"{""id"":""chr16"",""data"":""89985572_90005169""}"	Cortical dysplasia, complex, with other brain malformations 1	614039	AD	NEUROLOGIC	ventriculomegaly, simplified cortical gyration, pontocerebellar hypoplasia. Prenatal and Neonatal demise.	M,F	Emerging	29261186		x	x	
name: TUFM; id: 7284;	602389	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""28,853,732-28,857,669""}"	Combined oxidative phosphorylation deficiency 4, 610678 (3), Autosomal recessive	610678	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	33574353		x	x	x
name: TXNDC15; id: 79770;	617778	Fetal	SNV	Undetermined	"{""id"":""chr5"",""data"":""134209459_134237323""}"	Meckel syndrome 14	619879	AR	MULTIPLE >3	Oligohydramnios, polycystic kidneys, encephalocele, dysmorphic, bilateral microphthalmia, low set ears, small receded chin, ambiguous genitalia, and polydactyly, syndactyly.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: UBN1; id: 29855;	609771	Fetal	SNV	Undetermined	"{""id"":""chr16"",""data"":""4896665_4932402""}"					Prenatal and Neonatal demise.	M,F	Emerging	26036949		x	x	
name: UFM1; id: 51569;	610553	Fetal	SNV		"{""id"":""chr13"",""data"":""38,923,988-38,937,756""}"	Leukodystrophy, hypomyelinating, 14, 617899 (3)	617899	AR	NEUROLOGIC		M,F	Known	30993004; 28931644; 29868776				x
name: UGCG; id: 7357;	602874	Fetal	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""114659045_114697649""}"					Polyhydramnios. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: ULK4; id: 54986;	617010	Unknown	CNV,SNV	Undetermined	"{""id"":""chr3"",""data"":""41,288,090-42,003,595""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: USP9X; id: 8239;	300072	Fetal	CNV,SNV	Undetermined	"{""id"":""chrX"",""data"":""40944697_41095832""}"	Mental retardation, X-linked 99, syndromic	300919	XLR	MULTIPLE >3	Low-set ears, Cleft palate, Abnormal cardiac septum morphology, Single umbilical artery, Abnormal vertebral morphology, Intrauterine growth retardation, Protuberant abdomen, Talipes equinovarus. Prenatal and Neonatal demise.	M,F	Emerging	36658419			x	
name: VEGFA; id: 7422;	192240	Fetal	CNV,SNV	Undetermined	"{""id"":""chr6"",""data"":""43737920_43754224""}"				MULTIPLE >3	 IUGR, phocomelia, diaphragmatic hernia, vertebral segmentation defects. Prenatal and Neonatal demise.	M,F	Emerging	29261186		x	x	
name: VKORC1; id: 79001;	608547	Fetal	SNV		"{""id"":""chr16"",""data"":""31,102,175-31,106,118""}"	Vitamin K-dependent clotting factors, combined deficiency	607473	AR	MULTIPLE >3		M,F	Known	30993004; 11154138				x
name: VPS13D; id: 55187;	608877	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""12290086_12572099""}"	Spinocerebellar ataxia, AR 4	607317	AR	NEUROLOGIC	IUFD. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: VPS33B; id: 26276;	608552	Fetal	SNV		"{""id"":""chr15"",""data"":""91,541,646-91,565,851""}"	Arthrogryposis, renal dysfunction, and cholestasis 1, 208085 (3), Autosomal recessive	208085	AR	NEUROMUSCULAR		M,F	Known	30993004; 762621; 17159523; 2248291; 8151641				x
name: VPS45; id: 11311;	610035	Fetal	SNV		"{""id"":""chr1"",""data"":""150,039,439-150,117,507""}"	Neutropenia, severe congenital, 5, autosomal recessive, 615285 (3), Autosomal recessive	615285	AR	HEMATOPOETIC		M,F	Known	30993004; 23738510; 23599270				x
name: WAC; id: 51322;	615049	Fetal	CNV,SNV	Undetermined	"{""id"":""chr10"",""data"":""28821421_28912041""}"	Desanto-Shinawi syndrome	616708	AD	NEUROLOGIC	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564			x	x
name: WARS2; id: 10352;	604733	Fetal	SNV		"{""id"":""chr1"",""data"":""119,573,839-119,683,295""}"	Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures, 617710 (3), Autosomal recessive	617710	AR	MULTIPLE >3		M,F	Known	30993004; 28905505				x
name: WASHC5; id: 9897;	610657	Fetal	SNV		"{""id"":""chr8"",""data"":""126,036,502-126,104,034""}"	Ritscher-Schinzel syndrome 1, 220210	220210	AR	MULTIPLE >3		M,F	Known	30993004; 9475602; 20602491			x	x
name: WDR35; id: 57539;	613602	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""20,110,024-20,189,866""}"	Cranioectodermal dysplasia 2, 613610 (3), Autosomal recessive, Short-rib thoracic dysplasia 7 with or without polydactyly, 614091 (3), Autosomal recessive	613610; 614091	AR	MULTIPLE >3		M,F	Known	30993004; 28400947; 27158779			x	x
name: WDR81; id: 124997;	614218	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""1619816_1641893""}"	Hydrocephalus, congenital, 3, with brain anomalies.	617967	AR	NEUROLOGIC	Holoprosencephaly, absent cerebellum, abnormal facial features, excessive nuchal skin.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: WNK1; id: 65125;	605232	Unknown	CNV,SNV	Undetermined	"{""id"":""chr12"",""data"":""861,745-1,020,618""}"	Neuropathy, hereditary sensory and autonomic	201300; 614492	AR	NEUROLOGIC	Spontaneous miscarriage	unknown	Candidate	37398382				x
name: WNT7A; id: 7476;	601570	Fetal	CNV,SNV	LoF	"{""id"":""chr3"",""data"":""13,857,755-13,921,568""}"	Fuhrmann syndrome, 228930 (3), Autosomal recessive, Ulna and fibula, absence of, with severe limb deficiency, 276820 (3), Autosomal recessive	228930	AR	MULTIPLE >3		M,F	Known	30993004; 3400735; 7363910			x	x
name: WWOX; id: 51741;	605131	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""78,133,551-79,246,564""}"	Epileptic encephalopathy, early infantile, 28, 616211	616211	AR	MULTIPLE >3		M,F	Known	30993004; 24456803; 19500159; 25716914		x	x	x
name: XIRP2; id: 129446;	609778	Unknown	CNV,SNV	Undetermined	"{""id"":""chr2"",""data"":""166,888,480-167,259,753""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: YARS2; id: 51067;	610957	Fetal	CNV,SNV	Undetermined	"{""id"":""chr12"",""data"":""32,746,544-32,755,897""}"	Myopathy, lactic acidosis, and sideroblastic anemia 2	613561	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	24344687				x
name: ZBTB42; id: 100128927;	613915	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""105266890_105271049""}"	Lethal congenital contracture syndrome 6	616248	AR	MULTIPLE >3	Decreased fetal movements, severe polyhydramnios, absent stomach, multiple contracture deformities, but there were no major renal or CNS malformations.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: ZEB2; id: 9839;	605802	Fetal	CNV,SNV	Undetermined	"{""id"":""chr2"",""data"":""145141647_145282147""}"	Mowat-Wilson syndrome	235730	AD	MULTIPLE >3	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564				x
name: ZFPM1; id: 161882;	601950	Unknown	CNV,SNV	Undetermined	"{""id"":""chr16"",""data"":""88,519,688-88,603,439""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: ZIC2; id: 7546;	603073	Fetal	CNV,SNV	LoF	"{""id"":""chr13"",""data"":""100,634,038-100,639,019""}"	Holoprosencephaly 5, 609637 (3), Autosomal dominant	609637	AD	MULTIPLE >3		M,F	Known	30993004; 21940735				x
name: ZIC3; id: 7547;	300265	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""136,648,286-136,659,850""}"	Congenital heart defects, nonsyndromic, 1, X-linked, 306955 (3), X-linked recessive, Heterotaxy, visceral, 1, X-linked, 306955 (3), X-linked recessive, VACTERL association, X-linked, 314390 (3), X-linked recessive	306955; 314390	XLR	MULTIPLE >3		M	Known	30993004; 3674105; 8298651; 21465648; 39009665; 10980576				x
name: ZMPSTE24; id: 10269;	606480	Fetal	SNV		"{""id"":""chr1"",""data"":""40,723,908-40,759,852""}"	Restrictive dermopathy, lethal, 275210 (3), Autosomal recessive	275210	AR	MULTIPLE >3		M,F	Known	30993004; 1642279				x
name: ZNF148; id: 7707;	601897	Fetal	SNV		"{""id"":""chr3"",""data"":""124,944,513-125,094,198""}"	Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies, 617260 (3), Autosomal dominant	617260	AD	MULTIPLE >3		M,F	Known	30993004; 27964749				x
name: AP4M1; id: 9179;	602296	Fetal	SNV		"{""id"":""chr7"",""data"":""99,699,266-99,706,662""}"	Spastic paraplegia 50, autosomal recessive, 612936 (3), Autosomal recessive	612936	AR	NEUROLOGIC		M,F	Known	30993004				x
name: ARHGDIA; id: 396;	601925	Fetal	SNV		"{""id"":""chr17"",""data"":""79,825,597-79,829,213""}"	Nephrotic syndrome, type 8, 615244 (3), Autosomal recessive	615244	AR	RENAL		M,F	Known	30993004				x
name: ASAH1; id: 427;	613468	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""17,913,501-17,942,470""}"	Farber lipogranulomatosis	228000	AR	NEUROLOGIC	Neonatal demise.	M,F	Known	30993004; 9128814				x
name: ATP6V1B1; id: 525;	192132	Fetal	SNV		"{""id"":""chr2"",""data"":""71,163,030-71,192,561""}"	Renal tubular acidosis with deafness, 267300 (3), Autosomal recessive	267300	AR	RENAL		M,F	Known	30993004				x
name: ATP6V1B2; id: 526;	606939	Fetal	SNV		"{""id"":""chr8"",""data"":""20,054,892-20,079,207""}"	Deafness, congenital, with onychodystrophy, autosomal dominant, 124480 (3), Autosomal dominant, Zimmermann-Laband syndrome 2, 616455 (3), Autosomal dominant	124480	AD	NEUROLOGIC		M,F	Known	30993004				x
name: ATP6V1E1; id: 529;	108746	Fetal	CNV,SNV	LoF	"{""id"":""chr22"",""data"":""18,074,902-18,111,588""}"	Cutis laxa, autosomal recessive, type IIC, 617402 (3), Autosomal recessive	617402	AR	NEUROMUSCULAR	Prenatal and Neonatal demise.	M,F	Known	30993004; 28065471		x		x
name: CLCF1; id: 23529;	607672	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""67,131,639-67,141,648""}"	Cold-induced sweating syndrome 2, 610313 (3), Autosomal recessive	610313	AR	METABOLIC	Neonatal demise.	M,F	Candidate	30993004; 31497877				x
name: COA8; id: 84334;	616003	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""104,029,299-104,057,236""}"	Mitochondrial complex IV deficiency	220110	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004				x
name: COQ2; id: 27235;	609825	Fetal	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""84,184,977-84,206,287""}"	Coenzyme Q10 deficiency, primary, 1, 607426 (3), Autosomal recessive	607426	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 17855635				x
name: ENG; id: 2022;	131195	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""130,577,291-130,617,052""}"	Telangiectasia, hereditary hemorrhagic, type 1, 187300 (3), Autosomal dominant	187300	AD	CARDIOVASCULAR	Prenatal demise. - Stillbirth	M,F	Known	30993004; 3169731			x	x
name: ESCO2; id: 157570;	609353	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""27,632,071-27,662,833""}"	Roberts syndrome, 268300 (3), Autosomal recessive, SC phocomelia syndrome, 269000 (3), Autosomal recessive	268300	AR	SKELETAL	Prenatal and Neonatal demise.	M,F	Known	30993004; 1809233 				x
name: FH; id: 2271;	136850	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""241,660,903-241,683,055""}"	Fumarase deficiency	606812	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 22069215				x
name: FOXF1; id: 2294;	601089	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""86,544,133-86,549,028""}"	Alveolar capillary dysplasia with misalignment of pulmonary veins, 265380 (3), Autosomal dominant	265380	AD	RESPIRATORY	Neonatal demise.	M,F	Known	30993004; 30380203; 18874417; 6476881; 9475097; 11754046				x
name: GATA6; id: 2627;	601656	Fetal	CNV,SNV	LoF	"{""id"":""chr18"",""data"":""19,749,550-19,782,491""}"	Atrial septal defect 9, 614475 (3), Autosomal dominant, Atrioventricular septal defect 5, 614474 (3), Autosomal dominant, Pancreatic agenesis and congenital heart defects, 600001 (3), Autosomal dominant, Persistent truncus arteriosus, 217095 (3), Tetralogy of Fallot, 187500 (3), Autosomal dominant	600001	AD	CARDIOVASCULAR	Neonatal demise.	M,F	Known	30993004; 8071961 				x
name: MESP2; id: 145873;	605195	Fetal	SNV		"{""id"":""chr15"",""data"":""90,319,563-90,321,985""}"	Spondylocostal dysostosis 2, autosomal recessive, 608681 (3)	608681	AR	SKELETAL		M,F	Known	30993004				x
name: NAGA; id: 4668;	104170	Fetal	SNV		"{""id"":""chr22"",""data"":""42,454,338-42,466,846""}"	Kanzaki disease, 609242 (3), Autosomal recessive, Schindler disease, type I, 609241 (3), Autosomal recessive, Schindler disease, type III, 609241 (3), Autosomal recessive	609241	AR	MULTIPLE >3		M,F	Known	30993004				x
name: NAGS; id: 162417;	608300	Fetal	SNV		"{""id"":""chr17"",""data"":""42,081,990-42,086,436""}"	N-acetylglutamate synthase deficiency, 237310 (3), Autosomal recessive	237310	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 7453791				x
name: NAXE; id: 128240;	608862	Fetal	SNV		"{""id"":""chr1"",""data"":""156,561,568-156,564,091""}"	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 617186 (3), Autosomal recessive	617186	AR	NEUROLOGIC		M,F	Known	30993004				x
name: NDUFA1; id: 4694;	300078	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""119,005,795-119,010,625""}"	Mitochondrial complex I deficiency	252010, 301020	XLD	METABOLIC	Neonatal demise.	M,F	Known	30993004; 17262856				x
name: NDUFA11; id: 126328;	612638	Fetal	SNV		"{""id"":""chr19"",""data"":""5,891,240-5,903,801""}"	Mitochondrial complex I deficiency	252010, 618236	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 18306244				x
name: NDUFAF1; id: 51103;	606934	Fetal	CNV,SNV	LoF	"{""id"":""chr15"",""data"":""41,679,551-41,694,694""}"	Mitochondrial complex I deficiency	252010, 618234	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 21931170				x
name: NDUFAF2; id: 91942;	609653	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""60,241,032-60,448,853""}"	Mitochondrial complex I deficiency	252010, 618233	AR	MULTIPLE >3		M,F	Known	30993004;				x
name: NDUFAF3; id: 25915;	612911	Fetal	SNV		"{""id"":""chr3"",""data"":""49,057,885-49,060,928""}"	Mitochondrial complex I deficiency	252010, 618240	AR	METABOLIC		M,F	Known	30993004				x
name: NDUFAF4; id: 29078;	611776	Fetal	SNV		"{""id"":""chr6"",""data"":""97,337,191-97,345,767""}"	Mitochondrial complex I deficiency	252010, 618237	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 18179882				x
name: NDUFB3; id: 4709;	603839	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""201,936,724-201,950,473""}"	Mitochondrial complex I deficiency	252010, 618246	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 22277967				x
name: NDUFS1; id: 4719;	157655	Fetal	SNV		"{""id"":""chr2"",""data"":""206,979,541-207,024,168""}"	Mitochondrial complex I deficiency	252010, 618226	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 15824269; 11349233				x
name: NDUFS2; id: 4720;	602985	Fetal	SNV		"{""id"":""chr1"",""data"":""161,167,207-161,184,185""}"	Mitochondrial complex I deficiency	252010, 618228	AR	METABOLIC	Neonatal demise.	M,F	Known	30993004; 11220739; 				x
name: NDUFS4; id: 4724;	602694	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""52,856,469-52,979,168""}"	Mitochondrial complex I deficiency	252010	AR	MULTIPLE >3	Neonatal demise.	M,F	Known	30993004; 10393702; 1903590				x
